Group,Fig.,User Interface,,,,,,MIDI assign reference,,,,"MIDI-IN
(to PC/Mac)",,,"MIDI-OUT
(from PC/Mac)",,,Details (Data 2)
,,UI name,+SHIFT,,Trigger,Deck,Condition (mode),"MIDI
Channel (Dec)","NOTE
/ CC",MIDI Data (Data 1) (Dec),(English scale),Status (Hex),Data 1 (Hex),Data 2 (Hex),Status (Hex),Data 1 (Hex),Data 2 (Hex),
,,SAMPLER MODE L,,Yes,,,,3,Note,107,B7,0x92,0x6F,dd,0x92,0x6B,dd,"NoteOff=0x00, NoteOn=0x7F"
,5-4R,SAMPLER MODE R,,No,Press,Deck 2,-,2,Note,34,A#1,0x91,0x22,dd,0x91,0x22,dd,"NoteOff=0x00, NoteOn=0x7F"
,,SAMPLER MODE R,,Yes,,,,2,Note,107,B7,0x91,0x6F,dd,0x91,0x6B,dd,"NoteOff=0x00, NoteOn=0x7F"
,,SAMPLER MODE R,,No,Press,Deck 4,-,4,Note,34,A#1,0x93,0x22,dd,0x93,0x22,dd,"NoteOff=0x00, NoteOn=0x7F"
,,SAMPLER MODE R,,Yes,,,,4,Note,107,B7,0x93,0x6F,dd,0x93,0x6B,dd,"NoteOff=0x00, NoteOn=0x7F"
,5-5,PERFORMANCE PAD 1 L,,No,Press,Deck 1,HOT CUE MODE,8,Note,0,C-1,0x97,0x0,dd,0x97,0x0,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,Yes,,,,9,Note,0,C-1,0x98,0x0,dd,0x98,0x0,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,No,,,PAD FX MODE,8,Note,16,E0,0x97,0x10,dd,0x97,0x10,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,Yes,,,,9,Note,16,E0,0x98,0x10,dd,0x98,0x10,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,No,,,BEAT JUMP MODE,8,Note,32,G#1,0x97,0x20,dd,0x97,0x20,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,Yes,,,,9,Note,32,G#1,0x98,0x20,dd,0x98,0x20,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,No,,,SAMPLER MODE,8,Note,48,C3,0x97,0x30,dd,0x97,0x30,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,Yes,,,,9,Note,48,C3,0x98,0x30,dd,0x98,0x30,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,No,,,KEYBOARD MODE,8,Note,64,E4,0x97,0x40,dd,0x97,0x40,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,Yes,,,,9,Note,64,E4,0x98,0x40,dd,0x98,0x40,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,No,,,KEY SHIFT MODE,8,Note,80,G#5,0x97,0x50,dd,0x97,0x50,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,Yes,,,,9,Note,80,G#5,0x98,0x50,dd,0x98,0x50,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,No,,,BEAT LOOP MODE,8,Note,96,C7,0x97,0x60,dd,0x97,0x60,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,Yes,,,,9,Note,96,C7,0x98,0x60,dd,0x98,0x60,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,No,,,SP. SCRATCH MODE,8,Note,112,E8,0x97,0x70,dd,0x97,0x70,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,Yes,,,,9,Note,112,E8,0x98,0x70,dd,0x98,0x70,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,No,Press,Deck 3,HOT CUE MODE,12,Note,0,C-1,0x9B,0x0,dd,0x9B,0x0,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,Yes,,,,13,Note,0,C-1,0x9C,0x0,dd,0x9C,0x0,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,No,,,PAD FX MODE,12,Note,16,E0,0x9B,0x10,dd,0x9B,0x10,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,Yes,,,,13,Note,16,E0,0x9C,0x10,dd,0x9C,0x10,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,No,,,BEAT JUMP MODE,12,Note,32,G#1,0x9B,0x20,dd,0x9B,0x20,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,Yes,,,,13,Note,32,G#1,0x9C,0x20,dd,0x9C,0x20,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,No,,,SAMPLER MODE,12,Note,48,C3,0x9B,0x30,dd,0x9B,0x30,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,Yes,,,,13,Note,48,C3,0x9C,0x30,dd,0x9C,0x30,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,No,,,KEYBOARD MODE,12,Note,64,E4,0x9B,0x40,dd,0x9B,0x40,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,Yes,,,,13,Note,64,E4,0x9C,0x40,dd,0x9C,0x40,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,No,,,KEY SHIFT MODE,12,Note,80,G#5,0x9B,0x50,dd,0x9B,0x50,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,Yes,,,,13,Note,80,G#5,0x9C,0x50,dd,0x9C,0x50,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,No,,,BEAT LOOP MODE,12,Note,96,C7,0x9B,0x60,dd,0x9B,0x60,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,Yes,,,,13,Note,96,C7,0x9C,0x60,dd,0x9C,0x60,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,No,,,SP. SCRATCH MODE,12,Note,112,E8,0x9B,0x70,dd,0x9B,0x70,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 L,,Yes,,,,13,Note,112,E8,0x9C,0x70,dd,0x9C,0x70,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,No,Press,Deck 2,HOT CUE MODE,10,Note,0,C-1,0x99,0x0,dd,0x99,0x0,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,Yes,,,,11,Note,0,C-1,0x9A,0x0,dd,0x9A,0x0,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,No,,,PAD FX MODE,10,Note,16,E0,0x99,0x10,dd,0x99,0x10,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,Yes,,,,11,Note,16,E0,0x9A,0x10,dd,0x9A,0x10,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,No,,,BEAT JUMP MODE,10,Note,32,G#1,0x99,0x20,dd,0x99,0x20,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,Yes,,,,11,Note,32,G#1,0x9A,0x20,dd,0x9A,0x20,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,No,,,SAMPLER MODE,10,Note,48,C3,0x99,0x30,dd,0x99,0x30,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,Yes,,,,11,Note,48,C3,0x9A,0x30,dd,0x9A,0x30,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,No,,,KEYBOARD MODE,10,Note,64,E4,0x99,0x40,dd,0x99,0x40,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,Yes,,,,11,Note,64,E4,0x9A,0x40,dd,0x9A,0x40,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,No,,,KEY SHIFT MODE,10,Note,80,G#5,0x99,0x50,dd,0x99,0x50,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,Yes,,,,11,Note,80,G#5,0x9A,0x50,dd,0x9A,0x50,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,No,,,BEAT LOOP MODE,10,Note,96,C7,0x99,0x60,dd,0x99,0x60,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,Yes,,,,11,Note,96,C7,0x9A,0x60,dd,0x9A,0x60,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,No,,,SP. SCRATCH MODE,10,Note,112,E8,0x99,0x70,dd,0x99,0x70,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,Yes,,,,11,Note,112,E8,0x9A,0x70,dd,0x9A,0x70,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,No,Press,Deck 4,HOT CUE MODE,14,Note,0,C-1,0x9D,0x0,dd,0x9D,0x0,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,Yes,,,,15,Note,0,C-1,0x9E,0x0,dd,0x9E,0x0,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,No,,,PAD FX MODE,14,Note,16,E0,0x9D,0x10,dd,0x9D,0x10,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,Yes,,,,15,Note,16,E0,0x9E,0x10,dd,0x9E,0x10,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,No,,,BEAT JUMP MODE,14,Note,32,G#1,0x9D,0x20,dd,0x9D,0x20,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,Yes,,,,15,Note,32,G#1,0x9E,0x20,dd,0x9E,0x20,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,No,,,SAMPLER MODE,14,Note,48,C3,0x9D,0x30,dd,0x9D,0x30,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,Yes,,,,15,Note,48,C3,0x9E,0x30,dd,0x9E,0x30,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,No,,,KEYBOARD MODE,14,Note,64,E4,0x9D,0x40,dd,0x9D,0x40,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,Yes,,,,15,Note,64,E4,0x9E,0x40,dd,0x9E,0x40,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,No,,,KEY SHIFT MODE,14,Note,80,G#5,0x9D,0x50,dd,0x9D,0x50,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,Yes,,,,15,Note,80,G#5,0x9E,0x50,dd,0x9E,0x50,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,No,,,BEAT LOOP MODE,14,Note,96,C7,0x9D,0x60,dd,0x9D,0x60,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,Yes,,,,15,Note,96,C7,0x9E,0x60,dd,0x9E,0x60,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,No,,,SP. SCRATCH MODE,14,Note,112,E8,0x9D,0x70,dd,0x9D,0x70,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 1 R,,Yes,,,,15,Note,112,E8,0x9E,0x70,dd,0x9E,0x70,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,No,Press,Deck 1,HOT CUE MODE,8,Note,1,C#-1,0x97,0x1,dd,0x97,0x1,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,Yes,,,,9,Note,1,C#-1,0x98,0x1,dd,0x98,0x1,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,No,,,PAD FX MODE,8,Note,17,F0,0x97,0x11,dd,0x97,0x11,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,Yes,,,,9,Note,17,F0,0x98,0x11,dd,0x98,0x11,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,No,,,BEAT JUMP MODE,8,Note,33,A1,0x97,0x21,dd,0x97,0x21,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,Yes,,,,9,Note,33,A1,0x98,0x21,dd,0x98,0x21,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,No,,,SAMPLER MODE,8,Note,49,C#3,0x97,0x31,dd,0x97,0x31,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,Yes,,,,9,Note,49,C#3,0x98,0x31,dd,0x98,0x31,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,No,,,KEYBOARD MODE,8,Note,65,F4,0x97,0x41,dd,0x97,0x41,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,Yes,,,,9,Note,65,F4,0x98,0x41,dd,0x98,0x41,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,No,,,KEY SHIFT MODE,8,Note,81,A5,0x97,0x51,dd,0x97,0x51,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,Yes,,,,9,Note,81,A5,0x98,0x51,dd,0x98,0x51,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,No,,,BEAT LOOP MODE,8,Note,97,C#7,0x97,0x61,dd,0x97,0x61,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,Yes,,,,9,Note,97,C#7,0x98,0x61,dd,0x98,0x61,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,No,,,SP. SCRATCH MODE,8,Note,113,F8,0x97,0x71,dd,0x97,0x71,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,Yes,,,,9,Note,113,F8,0x98,0x71,dd,0x98,0x71,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,No,Press,Deck 3,HOT CUE MODE,12,Note,1,C#-1,0x9B,0x1,dd,0x9B,0x1,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,Yes,,,,13,Note,1,C#-1,0x9C,0x1,dd,0x9C,0x1,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,No,,,PAD FX MODE,12,Note,17,F0,0x9B,0x11,dd,0x9B,0x11,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,Yes,,,,13,Note,17,F0,0x9C,0x11,dd,0x9C,0x11,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,No,,,BEAT JUMP MODE,12,Note,33,A1,0x9B,0x21,dd,0x9B,0x21,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,Yes,,,,13,Note,33,A1,0x9C,0x21,dd,0x9C,0x21,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,No,,,SAMPLER MODE,12,Note,49,C#3,0x9B,0x31,dd,0x9B,0x31,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,Yes,,,,13,Note,49,C#3,0x9C,0x31,dd,0x9C,0x31,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,No,,,KEYBOARD MODE,12,Note,65,F4,0x9B,0x41,dd,0x9B,0x41,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,Yes,,,,13,Note,65,F4,0x9C,0x41,dd,0x9C,0x41,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,No,,,KEY SHIFT MODE,12,Note,81,A5,0x9B,0x51,dd,0x9B,0x51,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,Yes,,,,13,Note,81,A5,0x9C,0x51,dd,0x9C,0x51,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,No,,,BEAT LOOP MODE,12,Note,97,C#7,0x9B,0x61,dd,0x9B,0x61,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,Yes,,,,13,Note,97,C#7,0x9C,0x61,dd,0x9C,0x61,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,No,,,SP. SCRATCH MODE,12,Note,113,F8,0x9B,0x71,dd,0x9B,0x71,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 L,,Yes,,,,13,Note,113,F8,0x9C,0x71,dd,0x9C,0x71,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,No,Press,Deck 2,HOT CUE MODE,10,Note,1,C#-1,0x99,0x1,dd,0x99,0x1,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,Yes,,,,11,Note,1,C#-1,0x9A,0x1,dd,0x9A,0x1,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,No,,,PAD FX MODE,10,Note,17,F0,0x99,0x11,dd,0x99,0x11,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,Yes,,,,11,Note,17,F0,0x9A,0x11,dd,0x9A,0x11,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,No,,,BEAT JUMP MODE,10,Note,33,A1,0x99,0x21,dd,0x99,0x21,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,Yes,,,,11,Note,33,A1,0x9A,0x21,dd,0x9A,0x21,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,No,,,SAMPLER MODE,10,Note,49,C#3,0x99,0x31,dd,0x99,0x31,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,Yes,,,,11,Note,49,C#3,0x9A,0x31,dd,0x9A,0x31,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,No,,,KEYBOARD MODE,10,Note,65,F4,0x99,0x41,dd,0x99,0x41,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,Yes,,,,11,Note,65,F4,0x9A,0x41,dd,0x9A,0x41,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,No,,,KEY SHIFT MODE,10,Note,81,A5,0x99,0x51,dd,0x99,0x51,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,Yes,,,,11,Note,81,A5,0x9A,0x51,dd,0x9A,0x51,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,No,,,BEAT LOOP MODE,10,Note,97,C#7,0x99,0x61,dd,0x99,0x61,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,Yes,,,,11,Note,97,C#7,0x9A,0x61,dd,0x9A,0x61,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,No,,,SP. SCRATCH MODE,10,Note,113,F8,0x99,0x71,dd,0x99,0x71,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,Yes,,,,11,Note,113,F8,0x9A,0x71,dd,0x9A,0x71,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,No,Press,Deck 4,HOT CUE MODE,14,Note,1,C#-1,0x9D,0x1,dd,0x9D,0x1,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,Yes,,,,15,Note,1,C#-1,0x9E,0x1,dd,0x9E,0x1,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,No,,,PAD FX MODE,14,Note,17,F0,0x9D,0x11,dd,0x9D,0x11,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,Yes,,,,15,Note,17,F0,0x9E,0x11,dd,0x9E,0x11,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,No,,,BEAT JUMP MODE,14,Note,33,A1,0x9D,0x21,dd,0x9D,0x21,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,Yes,,,,15,Note,33,A1,0x9E,0x21,dd,0x9E,0x21,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,No,,,SAMPLER MODE,14,Note,49,C#3,0x9D,0x31,dd,0x9D,0x31,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,Yes,,,,15,Note,49,C#3,0x9E,0x31,dd,0x9E,0x31,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,No,,,KEYBOARD MODE,14,Note,65,F4,0x9D,0x41,dd,0x9D,0x41,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,Yes,,,,15,Note,65,F4,0x9E,0x41,dd,0x9E,0x41,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,No,,,KEY SHIFT MODE,14,Note,81,A5,0x9D,0x51,dd,0x9D,0x51,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,Yes,,,,15,Note,81,A5,0x9E,0x51,dd,0x9E,0x51,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,No,,,BEAT LOOP MODE,14,Note,97,C#7,0x9D,0x61,dd,0x9D,0x61,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,Yes,,,,15,Note,97,C#7,0x9E,0x61,dd,0x9E,0x61,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,No,,,SP. SCRATCH MODE,14,Note,113,F8,0x9D,0x71,dd,0x9D,0x71,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 2 R,,Yes,,,,15,Note,113,F8,0x9E,0x71,dd,0x9E,0x71,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,No,Press,Deck 1,HOT CUE MODE,8,Note,2,D-1,0x97,0x2,dd,0x97,0x2,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,Yes,,,,9,Note,2,D-1,0x98,0x2,dd,0x98,0x2,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,No,,,PAD FX MODE,8,Note,18,F#0,0x97,0x12,dd,0x97,0x12,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,Yes,,,,9,Note,18,F#0,0x98,0x12,dd,0x98,0x12,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,No,,,BEAT JUMP MODE,8,Note,34,A#1,0x97,0x22,dd,0x97,0x22,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,Yes,,,,9,Note,34,A#1,0x98,0x22,dd,0x98,0x22,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,No,,,SAMPLER MODE,8,Note,50,D3,0x97,0x32,dd,0x97,0x32,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,Yes,,,,9,Note,50,D3,0x98,0x32,dd,0x98,0x32,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,No,,,KEYBOARD MODE,8,Note,66,F#4,0x97,0x42,dd,0x97,0x42,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,Yes,,,,9,Note,66,F#4,0x98,0x42,dd,0x98,0x42,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,No,,,KEY SHIFT MODE,8,Note,82,A#5,0x97,0x52,dd,0x97,0x52,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,Yes,,,,9,Note,82,A#5,0x98,0x52,dd,0x98,0x52,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,No,,,BEAT LOOP MODE,8,Note,98,D7,0x97,0x62,dd,0x97,0x62,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,Yes,,,,9,Note,98,D7,0x98,0x62,dd,0x98,0x62,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,No,,,SP. SCRATCH MODE,8,Note,114,F#8,0x97,0x72,dd,0x97,0x72,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,Yes,,,,9,Note,114,F#8,0x98,0x72,dd,0x98,0x72,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,No,Press,Deck 3,HOT CUE MODE,12,Note,2,D-1,0x9B,0x2,dd,0x9B,0x2,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,Yes,,,,13,Note,2,D-1,0x9C,0x2,dd,0x9C,0x2,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,No,,,PAD FX MODE,12,Note,18,F#0,0x9B,0x12,dd,0x9B,0x12,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,Yes,,,,13,Note,18,F#0,0x9C,0x12,dd,0x9C,0x12,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,No,,,BEAT JUMP MODE,12,Note,34,A#1,0x9B,0x22,dd,0x9B,0x22,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,Yes,,,,13,Note,34,A#1,0x9C,0x22,dd,0x9C,0x22,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,No,,,SAMPLER MODE,12,Note,50,D3,0x9B,0x32,dd,0x9B,0x32,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,Yes,,,,13,Note,50,D3,0x9C,0x32,dd,0x9C,0x32,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 3 L,,No,,,KEYBOARD MODE,12,Note,66,F#4,0x9B,0x42,dd,0x9B,0x42,dd,"NoteOff=0x00, NoteOn=0x7F"
