Group,Fig.,User Interface,,,,,,MIDI assign reference,,,,"MIDI-IN
(to PC/Mac)",,,"MIDI-OUT
(from PC/Mac)",,,Details (Data 2)
,,UI name,+SHIFT,,Trigger,Deck,Condition (mode),"MIDI
Channel (Dec)","NOTE
/ CC",MIDI Data (Data 1) (Dec),(English scale),Status (Hex),Data 1 (Hex),Data 2 (Hex),Status (Hex),Data 1 (Hex),Data 2 (Hex),
,1-9R,RELOOP/EXIT R,,No,Press,Deck 2,-,2,Note,77,F5,0x91,0x4D,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,RELOOP/EXIT R,,Yes,,,-,2,Note,80,G#5,0x91,0x50,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,RELOOP/EXIT R,,No,Press,Deck 4,-,4,Note,77,F5,0x93,0x4D,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,RELOOP/EXIT R,,Yes,,,-,4,Note,80,G#5,0x93,0x50,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,1-10L,CUE/LOOP CALL ◁ L,,No,Press,Deck 1,-,1,Note,81,A5,0x90,0x51,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,CUE/LOOP CALL ◁ L,,Yes,,,-,1,Note,97,C#7,0x90,0x61,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,CUE/LOOP CALL ◁ L,,No,Press,Deck 3,-,3,Note,81,A5,0x92,0x51,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,CUE/LOOP CALL ◁ L,,Yes,,,-,3,Note,97,C#7,0x92,0x61,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,1-10R,CUE/LOOP CALL ◁ R,,No,Press,Deck 2,-,2,Note,81,A5,0x91,0x51,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,CUE/LOOP CALL ◁ R,,Yes,,,-,2,Note,97,C#7,0x91,0x61,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,CUE/LOOP CALL ◁ R,,No,Press,Deck 4,-,4,Note,81,A5,0x93,0x51,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,CUE/LOOP CALL ◁ R,,Yes,,,-,4,Note,97,C#7,0x93,0x61,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,1-11L,CUE/LOOP CALL ▷ L,,No,Press,Deck 1,-,1,Note,83,B5,0x90,0x53,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,CUE/LOOP CALL ▷ L,,Yes,,,-,1,Note,98,D7,0x90,0x62,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,CUE/LOOP CALL ▷ L,,No,Press,Deck 3,-,3,Note,83,B5,0x92,0x53,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,CUE/LOOP CALL ▷ L,,Yes,,,-,3,Note,98,D7,0x92,0x62,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,1-11R,CUE/LOOP CALL ▷ R,,No,Press,Deck 2,-,2,Note,83,B5,0x91,0x53,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,CUE/LOOP CALL ▷ R,,Yes,,,-,2,Note,98,D7,0x91,0x62,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,CUE/LOOP CALL ▷ R,,No,Press,Deck 4,-,4,Note,83,B5,0x93,0x53,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,CUE/LOOP CALL ▷ R,,Yes,,,-,4,Note,98,D7,0x93,0x62,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,1-12L,CUE/LOOP MEMORY L,,No,Press,Deck 1,-,1,Note,61,C#4,0x90,0x3D,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,CUE/LOOP MEMORY L,,Yes,,,-,1,Note,62,D4,0x90,0x3E,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,CUE/LOOP MEMORY L,,No,Press,Deck 3,-,3,Note,61,C#4,0x92,0x3D,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,CUE/LOOP MEMORY L,,Yes,,,-,3,Note,62,D4,0x92,0x3E,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,1-12R,CUE/LOOP MEMORY R,,No,Press,Deck 2,-,2,Note,61,C#4,0x91,0x3D,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
